GEO_ID,NAME,,S2701_C03_001E
id,Geographic Area Name,,Estimate!!Percent Insured!!Civilian noninstitutionalized population
13001,"Appling County, Georgia",,84.6
13003,"Atkinson County, Georgia",,77.4
13005,"Bacon County, Georgia",,79.4
13007,"Baker County, Georgia",,88.4
13009,"Baldwin County, Georgia",,88.1
13011,"Banks County, Georgia",,84.7
13013,"Barrow County, Georgia",,85.6
13015,"Bartow County, Georgia",,85.1
13017,"Ben Hill County, Georgia",,82.2
13019,"Berrien County, Georgia",,77.3
13021,"Bibb County, Georgia",,87.1
13023,"Bleckley County, Georgia",,90.5
13025,"Brantley County, Georgia",,85.3
13027,"Brooks County, Georgia",,81.9
13029,"Bryan County, Georgia",,89.4
13031,"Bulloch County, Georgia",,86.7
13033,"Burke County, Georgia",,87.7
13035,"Butts County, Georgia",,89
13037,"Calhoun County, Georgia",,83
13039,"Camden County, Georgia",,87.8
13043,"Candler County, Georgia",,78.1
13045,"Carroll County, Georgia",,87.7
13047,"Catoosa County, Georgia",,88.5
13049,"Charlton County, Georgia",,80
13051,"Chatham County, Georgia",,85.8
13053,"Chattahoochee County, Georgia",,93.8
13055,"Chattooga County, Georgia",,85.8
13057,"Cherokee County, Georgia",,89.2
13059,"Clarke County, Georgia",,86.5
13061,"Clay County, Georgia",,84
13063,"Clayton County, Georgia",,81.6
13065,"Clinch County, Georgia",,80.6
13067,"Cobb County, Georgia",,87.7
13069,"Coffee County, Georgia",,81.4
13071,"Colquitt County, Georgia",,78.9
13073,"Columbia County, Georgia",,92.1
13075,"Cook County, Georgia",,82
13077,"Coweta County, Georgia",,90.3
13079,"Crawford County, Georgia",,87
13081,"Crisp County, Georgia",,84.3
13083,"Dade County, Georgia",,87.7
13085,"Dawson County, Georgia",,87.9
13087,"Decatur County, Georgia",,81.6
13089,"DeKalb County, Georgia",,86
13091,"Dodge County, Georgia",,89.5
13093,"Dooly County, Georgia",,83.3
13095,"Dougherty County, Georgia",,83.5
13097,"Douglas County, Georgia",,87.1
13099,"Early County, Georgia",,83.2
13101,"Echols County, Georgia",,76.5
13103,"Effingham County, Georgia",,91.1
13105,"Elbert County, Georgia",,86.8
13107,"Emanuel County, Georgia",,82.3
13109,"Evans County, Georgia",,83.1
13111,"Fannin County, Georgia",,86.1
13113,"Fayette County, Georgia",,92.8
13115,"Floyd County, Georgia",,86.5
13117,"Forsyth County, Georgia",,91.2
13119,"Franklin County, Georgia",,85.3
13121,"Fulton County, Georgia",,89.7
13123,"Gilmer County, Georgia",,80.1
13125,"Glascock County, Georgia",,92.8
13127,"Glynn County, Georgia",,85.9
13129,"Gordon County, Georgia",,84.7
13131,"Grady County, Georgia",,81.3
13133,"Greene County, Georgia",,85
13135,"Gwinnett County, Georgia",,83.5
13137,"Habersham County, Georgia",,84.1
13139,"Hall County, Georgia",,82.7
13141,"Hancock County, Georgia",,89.1
13143,"Haralson County, Georgia",,87.7
13145,"Harris County, Georgia",,93.2
13147,"Hart County, Georgia",,87.9
13149,"Heard County, Georgia",,88.1
13151,"Henry County, Georgia",,89.7
13153,"Houston County, Georgia",,88.4
13155,"Irwin County, Georgia",,81.6
13157,"Jackson County, Georgia",,88.2
13159,"Jasper County, Georgia",,87.8
13161,"Jeff Davis County, Georgia",,81.6
13163,"Jefferson County, Georgia",,85.2
13165,"Jenkins County, Georgia",,83.1
13167,"Johnson County, Georgia",,86.1
13169,"Jones County, Georgia",,90.1
13171,"Lamar County, Georgia",,87.4
13173,"Lanier County, Georgia",,85.4
13175,"Laurens County, Georgia",,88.6
13177,"Lee County, Georgia",,90
13179,"Liberty County, Georgia",,88.8
13181,"Lincoln County, Georgia",,87.6
13183,"Long County, Georgia",,84.6
13185,"Lowndes County, Georgia",,85.1
13187,"Lumpkin County, Georgia",,88.4
13189,"McDuffie County, Georgia",,87.9
13191,"McIntosh County, Georgia",,85.1
13193,"Macon County, Georgia",,81.3
13195,"Madison County, Georgia",,84.9
13197,"Marion County, Georgia",,89.3
13199,"Meriwether County, Georgia",,86.2
13201,"Miller County, Georgia",,84.8
13205,"Mitchell County, Georgia",,82.8
13207,"Monroe County, Georgia",,88
13209,"Montgomery County, Georgia",,85.4
13211,"Morgan County, Georgia",,88.8
13213,"Murray County, Georgia",,85.4
13215,"Muscogee County, Georgia",,88.5
13217,"Newton County, Georgia",,87
13219,"Oconee County, Georgia",,93.3
13221,"Oglethorpe County, Georgia",,87.8
13223,"Paulding County, Georgia",,88.5
