GEO_ID,NAME,S2701_C02_001E
id,Geographic Area Name,Estimate!!Insured!!Civilian noninstitutionalized population
13001,"Appling County, Georgia",15216
13003,"Atkinson County, Georgia",6364
13005,"Bacon County, Georgia",8307
13007,"Baker County, Georgia",2770
13009,"Baldwin County, Georgia",38270
13011,"Banks County, Georgia",15834
13013,"Barrow County, Georgia",67471
13015,"Bartow County, Georgia",88424
13017,"Ben Hill County, Georgia",13686
13019,"Berrien County, Georgia",14597
13021,"Bibb County, Georgia",130354
13023,"Bleckley County, Georgia",11251
13025,"Brantley County, Georgia",15913
13027,"Brooks County, Georgia",12691
13029,"Bryan County, Georgia",31916
13031,"Bulloch County, Georgia",65265
13033,"Burke County, Georgia",19533
13035,"Butts County, Georgia",18904
13037,"Calhoun County, Georgia",3689
13039,"Camden County, Georgia",43047
13043,"Candler County, Georgia",8237
13045,"Carroll County, Georgia",101663
13047,"Catoosa County, Georgia",58621
13049,"Charlton County, Georgia",9488
13051,"Chatham County, Georgia",240799
13053,"Chattahoochee County, Georgia",5648
13055,"Chattooga County, Georgia",19826
13057,"Cherokee County, Georgia",219880
13059,"Clarke County, Georgia",108562
13061,"Clay County, Georgia",2435
13063,"Clayton County, Georgia",228356
13065,"Clinch County, Georgia",5314
13067,"Cobb County, Georgia",654420
13069,"Coffee County, Georgia",32272
13071,"Colquitt County, Georgia",35557
13073,"Columbia County, Georgia",135335
13075,"Cook County, Georgia",14014
13077,"Coweta County, Georgia",128837
13079,"Crawford County, Georgia",10602
13081,"Crisp County, Georgia",18799
13083,"Dade County, Georgia",14010
13085,"Dawson County, Georgia",21374
13087,"Decatur County, Georgia",20717
13089,"DeKalb County, Georgia",639465
13091,"Dodge County, Georgia",16912
13093,"Dooly County, Georgia",10317
13095,"Dougherty County, Georgia",73348
13097,"Douglas County, Georgia",123741
13099,"Early County, Georgia",8448
13101,"Echols County, Georgia",3047
13103,"Effingham County, Georgia",54506
13105,"Elbert County, Georgia",16432
13107,"Emanuel County, Georgia",17907
13109,"Evans County, Georgia",8435
13111,"Fannin County, Georgia",21739
13113,"Fayette County, Georgia",103624
13115,"Floyd County, Georgia",82383
13117,"Forsyth County, Georgia",207684
13119,"Franklin County, Georgia",19233
13121,"Fulton County, Georgia",920665
13123,"Gilmer County, Georgia",24197
13125,"Glascock County, Georgia",2704
13127,"Glynn County, Georgia",71688
13129,"Gordon County, Georgia",47972
13131,"Grady County, Georgia",20020
13133,"Greene County, Georgia",14615
13135,"Gwinnett County, Georgia",759725
13137,"Habersham County, Georgia",36165
13139,"Hall County, Georgia",163481
13141,"Hancock County, Georgia",5396
13143,"Haralson County, Georgia",25322
13145,"Harris County, Georgia",31173
13147,"Hart County, Georgia",21841
13149,"Heard County, Georgia",10203
13151,"Henry County, Georgia",200956
13153,"Houston County, Georgia",132419
13155,"Irwin County, Georgia",7495
13157,"Jackson County, Georgia",59247
13159,"Jasper County, Georgia",12145
13161,"Jeff Davis County, Georgia",12195
13163,"Jefferson County, Georgia",12922
13165,"Jenkins County, Georgia",7246
13167,"Johnson County, Georgia",7821
13169,"Jones County, Georgia",25502
13171,"Lamar County, Georgia",16094
13173,"Lanier County, Georgia",8285
13175,"Laurens County, Georgia",41203
13177,"Lee County, Georgia",25588
13179,"Liberty County, Georgia",48936
13181,"Lincoln County, Georgia",6803
13183,"Long County, Georgia",15072
13185,"Lowndes County, Georgia",93592
13187,"Lumpkin County, Georgia",28356
13189,"McDuffie County, Georgia",18548
13191,"McIntosh County, Georgia",11940
13193,"Macon County, Georgia",9160
13195,"Madison County, Georgia",24624
13197,"Marion County, Georgia",7444
13199,"Meriwether County, Georgia",18116
13201,"Miller County, Georgia",4772
13205,"Mitchell County, Georgia",16554
13207,"Monroe County, Georgia",22960
13209,"Montgomery County, Georgia",7332
13211,"Morgan County, Georgia",16264
13213,"Murray County, Georgia",33744
13215,"Muscogee County, Georgia",164148
13217,"Newton County, Georgia",93242
13219,"Oconee County, Georgia",35395
13221,"Oglethorpe County, Georgia",12998
13223,"Paulding County, Georgia",140665
13225,"Peach County, Georgia",23541
13227,"Pickens County, Georgia",27787
13229,"Pierce County, Georgia",16057
13231,"Pike County, Georgia",15706
13233,"Polk County, Georgia",35182
13235,"Pulaski County, Georgia",8293
13237,"Putnam County, Georgia",18483
13239,"Quitman County, Georgia",1749
13241,"Rabun County, Georgia",13555
13243,"Randolph County, Georgia",5947
